time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,resume,promote,user_id,liar
388,5,4,97,101,388,287,291,120,171,1,2,0,6,False
568,8,4,144,388,568,180,424,180,244,0,1,0,3,False
603,0,4,2,2,603,601,601,126,475,4,5,0,11,False
609,1,1,30,30,609,579,579,147,432,3,4,0,10,False
618,2,2,53,79,618,539,565,127,438,2,3,0,9,False
729,9,1,252,603,729,126,477,126,351,0,1,0,2,False
782,3,1,79,79,782,703,703,180,523,2,3,0,8,False
833,10,1,282,603,833,230,551,230,321,0,1,0,1,False
2429,4,4,89,97,2429,2332,2340,1600,740,1,2,0,7,False
2879,7,4,115,252,2879,2627,2764,480,2284,1,2,0,4,False
2959,6,1,101,144,2959,2815,2858,403,2455,2,3,0,5,False
